id,question,choices,correct,explanation,subject,difficulty
1,Give two examples of abiotic components in an ecosystem.,"Temperature and water,Rocks and wind,Plants and animals,Sunlight and soil",0,"Abiotic components are the non-living chemical and physical parts of an ecosystem that influence living organisms. Temperature and water are classic examples, as they are fundamental physical factors that affect life but are not themselves alive.",Biology,Easy
2,"The pesticide DDT is used on an industrial farm, and it is found that fish in a nearby stream have a high concentration of DDT in their bodies. What is this phenomenon called?","Bioaccumulation,Biodegradation,Biomagnification,Eutrophication",0,"Bioaccumulation refers to the gradual buildup of substances, like pesticides or heavy metals, in an organism's body over time. This occurs because the organism absorbs the substance faster than it can break it down or excrete it.",Biology,Easy
3,The shiitake mushroom occupies what trophic level?,"Producer,Primary Consumer,Secondary Consumer,Decomposer",3,"Decomposers, like mushrooms, are organisms that break down dead organic material, returning nutrients to the ecosystem. They occupy their own unique trophic level, separate from producers and consumers.",Biology,Easy
4,A forest has recently been devastated by a forest fire. How does this affect newly sprouted seedlings?,"Charcoal increases nutrients and accelerates growth,Ash blocks sunlight and stunts growth,Fire destroys all seeds preventing regrowth,Increased soil pH inhibits growth",0,"While destructive, fire can be a natural part of a forest's life cycle. The charcoal and ash from burned organic matter release nutrients like potassium and phosphorus back into the soil, acting as a fertilizer that can promote the growth of new seedlings.",Biology,Easy
5,"The giant panda population in China requires significant support to maintain; wild panda populations have dwindled. Based on this information, how should we classify the risk of the species?","Endangered,Least Concern,Vulnerable,Extinct",0,A species is classified as Endangered when it is facing a very high risk of extinction in the wild. The description of a dwindling wild population requiring significant human intervention for survival matches this classification.,Biology,Easy
6,The tallest tree in the world is the California redwood. What trophic level does this organism occupy?,"Producer,Primary Consumer,Secondary Consumer,Apex Predator",0,"Producers, or autotrophs, form the base of all food chains. They produce their own food through photosynthesis, converting solar energy into chemical energy that other organisms can consume. The California redwood is a photosynthetic plant.",Biology,Easy
9,Give an example of a symbiotic relationship.,"A lion hunting a zebra,A tick feeding on a dog,A bird building a nest in a tree,An ant protecting an aphid for its honeydew",3,"Symbiosis describes a close, long-term interaction between two different species. Mutualism, where both benefit, is a type of symbiotic relationship. Ants protect aphids from predators, and in return, the aphids provide the ants with a sugary substance called honeydew.",Biology,Easy
11,A large quantity of sulfuric acid is added to a river continuously over one year. Inside the river are small herbivorous fish and large carnivorous fish. Which group of fish is likely to accumulate a larger concentration of acid in their bodies?,"Herbivorous fish,Carnivorous fish,They accumulate the same concentration,The acid concentration does not change",1,"Pollutants that are persistent (not broken down easily) and bioaccumulative (build up in tissues) increase in concentration at higher trophic levels. Carnivorous fish eat many smaller fish, each containing a small amount of the acid, leading to a much larger concentration in their bodies over time.",Biology,Easy
12,What is the process described above (carnivores accumulating more toxin) called?,"Bioaccumulation,Biomagnification,Biodiversity,Eutrophication",1,Biomagnification is the specific process where the concentration of a substance (like a toxin) increases at each successive trophic level in a food chain. The carnivorous fish are at a higher trophic level than the herbivorous fish.,Biology,Easy
14,Give an example of an adaptation a plant may need to survive in the Himalayan mountain range.,"Large leaves to capture more sun,Needle-like leaves to reduce water loss,Deep roots to access water,Bright flowers to attract pollinators",1,"High-altitude environments like the Himalayas have cold, dry, and windy conditions. Needle-like leaves have a small surface area, which minimizes water loss through transpiration and helps shed snow, making them a key adaptation for survival.",Biology,Easy
18,"In an apple tree, what is the reproductive purpose of the apple itself?","To perform photosynthesis,To attract insects for pollination,To protect the seed and aid in dispersal,To store water for the tree",2,"The apple is the mature ovary of the flower. Its fleshy, nutritious fruit attracts animals to eat it. The seeds inside are then dispersed away from the parent plant in the animal's droppings, reducing competition for resources.",Biology,Easy
19,A farmer plants a crop of canola on the same field repeatedly for ten years. What changes to the soil are likely to occur?,"Increase in nutrient quantity,Decrease in nutrient quantity,Increase in soil pH,Decrease in soil biodiversity",1,"Monoculture, or planting the same crop repeatedly, depletes specific nutrients from the soil that that particular crop uses heavily. Without crop rotation or sufficient fertilization, the soil becomes less fertile over time.",Biology,Easy
22,What is meant by the term extirpation?,"A species is endangered,A species no longer exists in a specific area,A species is genetically modified,A global mass extinction event",1,"Extirpation, or local extinction, occurs when a species ceases to exist in a particular geographic area or habitat it once inhabited, but still exists elsewhere in the world. This is different from extinction, which is global.",Biology,Medium
23,A species of bacteria reproduces by creating two identical copies of itself. What is this process called?,"Binary fission,Mitosis,Meiosis,Budding",0,Binary fission is an asexual reproduction process used by prokaryotes (like bacteria). The cell replicates its DNA and divides into two genetically identical daughter cells. Mitosis is a similar process but in eukaryotic cells.,Biology,Medium
24,"Two species of animal, animal A and animal B, live within the same habitat. Animal A occupies a broad niche, and animal B occupies a narrow niche. A significant climate event alters the conditions of the habitat they both occupy. Which species is more likely to thrive in the altered habitat?","Animal A,Animal B,They are equally likely,It depends on the type of change",0,"A generalist (broad niche) can thrive in a variety of environmental conditions and use a variety of resources. A specialist (narrow niche) is highly adapted to a specific set of conditions. When conditions change dramatically, the generalist is more likely to survive.",Biology,Medium
25,Give two real life examples of specialists.,"Giant panda and koala,Raccoon and rat,Crow and cockroach,Human and dog",0,Specialists have a very limited diet or habitat requirement. The giant panda feeds almost exclusively on bamboo. The koala feeds primarily on eucalyptus leaves. Their survival is tightly linked to the availability of these specific resources.,Biology,Medium
26,"Which one is larger, a chromosome or a gene?","Chromosome,Gene,They are the same size,It depends on the organism",0,"A gene is a specific segment of DNA that codes for a protein or functional RNA. A chromosome is a long, continuous thread of DNA that contains many genes, along with associated proteins. Therefore, a chromosome is much larger.",Biology,Medium
27,Name two of the four nucleotides.,"Adenine and Guanine,Glucose and Sucrose,ATP and NADPH,Amino Acid and Protein",0,"Nucleotides are the building blocks of nucleic acids like DNA. The four nucleotides in DNA are Adenine (A), Thymine (T), Cytosine (C), and Guanine (G). In RNA, Thymine is replaced by Uracil (U).",Biology,Medium
28,"Parasites usually induce illness, but do not kill the host. Why did such an adaptation prevail in natural selection?","Killing the host provides more energy,It allows the parasite to use the host for energy longer,Dead hosts are easier to consume,It prevents the parasite from being detected",1,"A parasite depends on its host for survival and reproduction. If a parasite kills its host too quickly, it may not have enough time to reproduce and spread to new hosts. Therefore, parasites that can exploit a host without immediately killing it are more evolutionarily successful.",Biology,Medium
29,What species make the best indicator species?,"Generalist species,Invasive species,Species with a narrow niche,Apex predators",2,"Indicator species are highly sensitive to changes in their environment (e.g., pollution, temperature). Species with a narrow niche (specialists) are often good indicators because they will decline or disappear rapidly if their specific habitat requirements are not met, providing an early warning of ecosystem health issues.",Biology,Medium
30,What is a heritable trait?,"A trait learned during an organism's lifetime,A trait coded within DNA that can be passed to offspring,A trait acquired through exercise,A trait influenced only by the environment",1,Heritable traits are characteristics that are influenced by genes and can be transmitted from parents to their offspring through genetic information (DNA). This is the basis of inheritance and evolution.,Biology,Medium
31,What is budding in the context of biological reproduction?,"Splitting into two equal parts,Growing a copy that detaches,Spore formation,Seed germination",1,"Budding is a form of asexual reproduction where a new individual develops as an outgrowth or bud on the body of the parent. The bud eventually detaches and becomes an independent organism genetically identical to the parent (e.g., yeast, hydra).",Biology,Medium
32,What are the *advantages* of asexual reproduction?,"Rapid population growth and less energy,Increased genetic diversity,Requires finding a mate,Produces hardy offspring",0,"The main advantages of asexual reproduction are speed and efficiency. A single individual can reproduce rapidly without needing a mate, allowing a population to exploit favorable conditions quickly. It also requires less energy than finding a mate and performing mating rituals.",Biology,Medium
33,"Name one organelle exclusive to plant cells, and one organelle exclusive to animal cells.","Chloroplast and Centriole,Mitochondria and Nucleus,Cell Wall and Lysosome,Vacuole and Golgi Apparatus",0,"Chloroplasts, which perform photosynthesis, are found in plant cells but not animal cells. Centrioles, which play a key role in cell division (mitosis/meiosis), are found in animal cells but are absent in most plant cells.",Biology,Hard
34,List the reactants of cellular respiration.,"Oxygen and Glucose,Carbon Dioxide and Water,Glucose and ATP,Sunlight and Water",0,"Cellular respiration is the process where cells break down glucose to produce energy (ATP). The overall chemical equation is: Glucose (C6H12O6) + Oxygen (O2) → Carbon Dioxide (CO2) + Water (H2O) + ATP. Therefore, the reactants are oxygen and glucose.",Biology,Hard
35,What is the function of the golgi apparatus?,"Generate energy for the cell,Sort and package proteins for transport,Synthesize proteins,Control cell activities",1,"The Golgi apparatus (or Golgi body) acts as the 'post office' of the cell. It modifies, sorts, packages, and tags proteins and lipids made in the endoplasmic reticulum into vesicles for transport to their final destinations (secretion outside the cell, or to other organelles).",Biology,Hard
36,The hair-like projections present in many cells is called:,"Cilia,Flagella,Microvilli,Pili",0,"Cilia are short, numerous, hair-like projections that move in a coordinated wavelike motion. They are used for movement (e.g., in paramecium) or to move substances along the surface of a stationary cell (e.g., in the trachea to move mucus).",Biology,Hard
38,What organisms usually contain prokaryotic cells?,"Plants and Animals,Bacteria and Archaea,Fungi and Protists,All living organisms",1,"The domains Bacteria and Archaea consist entirely of prokaryotic organisms. All other life forms—plants, animals, fungi, and protists—are composed of eukaryotic cells.",Biology,Hard
39,"In a microscope, what is the section containing the three differently sized lenses called?","Eyepiece,Stage,Rotating Nosepiece,Diaphragm",2,"The rotating nosepiece (or turret) is located below the eyepiece tube and holds the objective lenses. The user rotates the nosepiece to switch between different magnification powers (e.g., 4x, 10x, 40x).",Biology,Hard
41,"Who is referred to as the ""father of microscopy""?","Robert Hooke,Antonie van Leeuwenhoek,Gregor Mendel,Charles Darwin",1,Antonie van Leeuwenhoek is credited with this title because he was the first to observe and describe microorganisms (which he called 'animalcules') using single-lens microscopes that he designed and built himself in the 17th century.,Biology,Hard
43,How do you convert temperature in Celsius to Kelvin?,"Subtract 273.15,Add 273.15,Multiply by 1.8 and add 32,Multiply by 9/5",1,"The Kelvin scale is an absolute temperature scale where 0 K is absolute zero. The size of one degree Kelvin is the same as one degree Celsius. Therefore, to convert from Celsius to Kelvin, you simply add 273.15: K = °C + 273.15.",Chemistry,Easy
44,What does temperature represent in the particle theory (a.k.a. Kinetic molecular theory) of matter?,"The mass of the particles,The speed of the particles,The number of particles,The color of the particles",1,"Temperature is a measure of the average kinetic energy of the particles in a substance. The faster the particles are moving (on average), the higher the kinetic energy and thus the higher the temperature.",Chemistry,Easy
45,"Explain why liquids can change shape, but solids cannot, using the particle theory.","Liquid particles are smaller,Liquid particles are able to move around each other,Solid particles have no kinetic energy,Liquid particles have no intramolecular forces",1,"In a solid, particles are tightly packed in a fixed, rigid arrangement and can only vibrate in place. In a liquid, particles are still close together but have enough energy to overcome some attractive forces, allowing them to slide past one another and flow, taking the shape of their container.",Chemistry,Easy
46,What is the term for when a gas turns into a solid without ever becoming a liquid?,"Sublimation,Deposition,Condensation,Freezing",1,"Deposition is the phase transition where a gas changes directly into a solid, skipping the liquid phase. The reverse process (solid to gas) is called sublimation. Frost forming on a cold window is an example of deposition.",Chemistry,Easy
47,"In all matter, the particles are attracted to each other via a pull called ""intramolecular forces"". In what state of matter is this force the least significant?","Solids,Liquids,Gasses,Plasma",2,"In gases, particles are very far apart and moving at high speeds. The strength of intermolecular forces (note: the common term is *inter*molecular forces, meaning *between* molecules) decreases rapidly with distance, so they have very little effect on gas particles under normal conditions.",Chemistry,Easy
50,Explain why engineers must consider the fact that railway tracks may deform throughout the year in Alberta.,"Extreme weather changes cause thermal expansion/contraction,The tracks are made of poor quality metal,Trains are too heavy,Wind causes erosion",0,"Alberta experiences large temperature variations between summer and winter. Metals expand when heated (particles vibrate more and take up more space) and contract when cooled. If tracks are laid without expansion joints, they could buckle in the heat or crack in the cold.",Chemistry,Easy
52,"Two metals of the same mass are heated using the same source of heat at the same rate. Both metals measure a temperature of 20 C before heating. After one hour, metal A reads a temperature of 1,200 C and metal B reads a temperature of 1,100 C. Which metal has the higher specific heat capacity?","Metal A,Metal B,They have the same specific heat capacity,It cannot be determined",1,Specific heat capacity is the amount of heat energy required to raise the temperature of 1 kg of a substance by 1 °C. Metal B's temperature increased less than metal A's despite receiving the *same amount of heat energy*. This means metal B can absorb more heat energy per degree of temperature change; it has a higher specific heat capacity.,Chemistry,Easy
53,What is the name of the subatomic phenomenon that allows the sun to emit light?,"Fission,Fusion,Radioactive Decay,Combustion",1,"Nuclear fusion is the process powering the sun. In its core, extreme pressure and temperature cause hydrogen nuclei to fuse together to form helium nuclei. This process releases an enormous amount of energy in the form of light and heat.",Chemistry,Easy
55,"Two cities are located on the same latitude line. Beihai is located next to the sea, but Shangjing is located on a plain inland. Explain why Beihai experiences more moderate temperatures.","Water has a high specific heat capacity,The sea creates strong winds,The plain reflects more sunlight,The city is more polluted",0,"Water has a very high specific heat capacity, meaning it heats up and cools down much more slowly than land. Beihai's proximity to the ocean means the water acts as a thermal buffer, warming the city in winter and cooling it in summer, leading to more moderate temperatures year-round compared to the inland city Shangjing.",Chemistry,Easy
56,Explain the principle of conduction of heat energy using the particle theory.,"Particles contact each other and transfer energy,Particles radiate energy into space,Particles move in currents,Particles change state",0,"Conduction is heat transfer through direct contact. When a substance is heated, its particles gain kinetic energy and vibrate more. These vibrating particles collide with neighboring, less energetic particles, transferring kinetic energy to them. This process continues, transferring heat through the material.",Chemistry,Easy
57,"When gravel and orange juice are mixed together, the resulting mixture is called","A solution,A compound,A heterogeneous mixture,A homogeneous mixture",2,"A heterogeneous mixture is one where the composition is not uniform throughout. You can visibly distinguish the different components, like gravel particles suspended in orange juice. The gravel would eventually settle out.",Chemistry,Easy
59,"For most materials, decreasing the temperature decreases the volume. What is a common counterexample to this claim?","Mercury,Water,Aluminum,Oxygen",1,"Water is a common exception. As liquid water cools, its volume decreases normally. However, when it freezes at 0°C, it expands, forming a crystalline structure that takes up more space than the liquid form. This is why ice floats on water.",Chemistry,Easy
60,"Explain why when oil and water are poured into a clear jar, they are separated into two vertical layers.","Oil is less dense and non-polar,Water is less dense and polar,They undergo a chemical reaction,They have different boiling points",0,"Oil is less dense than water, so it floats on top. Furthermore, water is a polar molecule, and oil is typically non-polar. ""Like dissolves like,"" so the polar water molecules are strongly attracted to each other and exclude the non-polar oil molecules, preventing them from mixing.",Chemistry,Easy
61,All reactions either release heat or absorb heat. Categorize the following chemical reactions: a) An egg being fried b) Lighting a match c) Reaction of vinegar and baking soda d) Elephant's toothpaste reaction,"a) Endo b) Exo c) Endo d) Exo,a) Exo b) Endo c) Exo d) Endo,a) Endo b) Endo c) Exo d) Exo,a) Exo b) Exo c) Endo d) Endo",0,a) Frying an egg requires heat input to denature the proteins (endothermic). b) Lighting a match releases heat and light (exothermic). c) The reaction between vinegar (acid) and baking soda (base) feels cold because it absorbs heat from its surroundings (endothermic). d) The elephant's toothpaste reaction (decomposition of hydrogen peroxide) releases a large amount of heat and gas (exothermic).,Chemistry,Easy
62,An endothermic reaction is a chemical reaction that results in the absorption of heat. Give a real-life example of an endothermic reaction.,"Burning wood,Photosynthesis,Using a cold pack,Both B and C",3,"Photosynthesis absorbs solar energy to convert CO2 and water into glucose (endothermic). Many instant cold packs work based on an endothermic reaction; when you break an inner pouch, ammonium nitrate dissolves in water, absorbing a significant amount of heat from the surroundings.",Chemistry,Easy
63,What is the function of iron inside the human body?,"Builds strong bones,Produces red blood cells for oxygen transport,Regulates nerve impulses,Provides energy",1,"Iron is a crucial component of hemoglobin, the protein in red blood cells that binds to oxygen in the lungs and carries it to tissues throughout the body. Without sufficient iron, the body cannot produce enough healthy oxygen-carrying red blood cells.",Chemistry,Medium
65,"A lake suffers a large algal bloom due to excessive fertilizer use. What effects does this have on life in the lake, and what is this process called?","Increases oxygen; photosynthesis,Depletes oxygen and nutrients; eutrophication,Clears the water; sedimentation,Kills algae; bioaccumulation",1,"Excess nutrients (like nitrogen and phosphorus from fertilizer runoff) cause rapid algae growth (algal bloom). When these algae die, decomposers break them down, consuming large amounts of dissolved oxygen in the water. This oxygen depletion can suffocate fish and other aquatic life. The process is called eutrophication.",Chemistry,Medium
